EmployeeID,Age,Gender,Department,JobRole,Education,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,Date_of_Joining,OverTime,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,TrainingTimesLastYear,PerformanceRating,Onboarding_Status,Attrition
EMP00001,32,Male,Operations,Stocker,Associate's Degree,2557.63,53,396,9756,2024-10-05,Yes,1.6,0,0,1,3,3,,3,3,Completed,No
EMP00002,32,Female,Operations,Stocker,Bachelor's Degree,2400.35,51,430,7600,2017-06-07,Yes,9.0,8,2,2,3,3,2,2,3,Completed,No
EMP00003,32,Male,Operations,Cashier,Bachelor's Degree,2085.61,10,100,13613,2025-08-15,No,0.8,0,0,0,2,3,1,1,3,In Progress,No
EMP00004,41,Female,Operations,Stocker,Bachelor's Degree,2263.62,35,272,11031,2018-04-21,Yes,8.1,0,4,6,4,2,4,3,4,Completed,No
EMP00005,32,Male,Operations,Stocker,High School,2677.72,30,259,15595,2016-11-18,No,9.5,9,9,5,1,2,3,4,2,Completed,No
EMP00006,19,Female,Finance,Accountant,High School,4581.35,38,318,18042,2024-08-27,No,1.8,0,1,0,3,1,3,3,3,Completed,Yes
EMP00007,37,Male,Finance,Accountant,Bachelor's Degree,4632.34,39,325,11187,2022-05-18,No,4.0,4,0,4,1,3,2,2,3,Completed,No
EMP00008,31,Female,Operations,Sales Associate,High School,2836.19,36,290,8982,2024-08-23,No,1.8,1,1,1,3,3,4,4,3,Completed,Yes
EMP00009,31,Male,Operations,Cashier,Bachelor's Degree,2195.62,61,458,18959,2025-06-16,No,1.0,0,0,0,3,3,2,2,3,Completed,Yes
EMP00010,35,Male,Operations,Sales Associate,Bachelor's Degree,3537.11,56,394,8732,2017-07-19,No,8.9,3,4,6,2,4,3,2,3,Pending,No
EMP00011,36,Male,Operations,Sales Associate,High School,2929.49,43,298,7319,2016-04-27,No,10.1,1,2,1,4,4,2,2,3,In Progress,No
